"Official_country","Cost_ID","InvaCost_ID","Repository","Reference_ID","Reference_title","Authors","Abstract","Publication_year","Language","Type_of_material","Previous_materials","Availability","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Common_name","Environment","Environment_IAS","HabitatVerbatim","Habitat","urbanArea","protectedArea","Island","Geographic_region","State.Province.Administrative_area","Location","Spatial_scale","Period_of_estimation","Time_range","Probable_starting_year","Probable_ending_year","Probable_starting_year_adjusted","Probable_ending_year_adjusted","Occurrence","Raw_cost_estimate_original_currency","Min_Raw_cost_estimate_original_currency","Max_Raw_cost_estimate_original_currency","Raw_cost_estimate_2017_USD_exchange_rate","Raw_cost_estimate_2017_USD_PPP","Cost_estimate_per_year_original_currency","Cost_estimate_per_year_2017_USD_exchange_rate","Cost_estimate_per_year_2017_USD_PPP","Currency","Applicable_year","Type_of_applicable_year","Implementation","Acquisition_method","Impacted_sector","Type_of_cost","Type_of_cost_merged","Management_type","Method_reliability","Method_reliability_refined","Method_reliability_Explanation","Method_reliability_Expert_Name","Overlap","Benefit_value.s.","Details","Initial.contributors_names","Double.checking","cost","cost_bil","cost_mil","Population_2019","Surface_area_km2","Density_2019","GDP_2019","Neighbouring_countries","Km_land_borders","log.cost","Agri_forest_fish_perc_gdp","Industry_perc_gdp","Manufacturing_perc_gdp","Services_perc_gdp","Forest_rents_perc_gdp","Forest_area_perc_landarea","Health_expend_perc_gdp"
"Spain","NE578","IC_2.1_577","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","Pacifastacus","Pacifastacus leniusculus",NA,"Cranc senyal","Aquatic","Aquatic",NA,NA,"other",NA,"N","Europe","Catalonia","Merles River/From Santa Maria de Merles to Quar","Site","Mar 1/2017 - Nov 15/2017","Year",2017,2017,2017,2017,"One-time",5000,NA,NA,5648.40588235295,7797.51415248819,5000,5648.40588235295,7797.51415248819,"EUR",2017,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",5648.40588235295,5.64840588235295e-06,0.00564840588235295,47076781,505935,93.05,1.39e+12,5,1918,8.63912863961389,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE939","IC_2.1_938","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Arundo","Arundo donax",NA,"Robust reed","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Viver","Site","2014","Year",2014,2014,2014,2014,"One-time",512,NA,NA,704.27970684243,800.368371030991,512,704.27970684243,800.368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",704.27970684243,7.0427970684243e-07,0.00070427970684243,47076781,505935,93.05,1.39e+12,5,1918,6.55717558810671,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE694","IC_2.1_693","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Reptilia","Testudines","Emydidae","Trachemys","Trachemys scripta",NA,"Tortuga de Florida","Aquatic/Terrestrial","Semi-aquatic",NA,NA,"other",NA,"N","Europe","Catalonia","Turo Park","Site","Jun 6/2015 - Jun 6/2015","Year",2015,2015,2015,2015,"One-time",50,NA,NA,57.3721162306848,77.8095695506477,50,57.3721162306848,77.8095695506477,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",57.3721162306848,5.73721162306848e-08,5.73721162306848e-05,47076781,505935,93.05,1.39e+12,5,1918,4.04955840534299,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE474","IC_2.1_473","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Girona","Site","2017","Year",2017,2017,2017,2017,"One-time",350,NA,NA,395.388411764707,545.825990674173,350,395.388411764707,545.825990674173,"EUR",2017,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",395.388411764707,3.95388411764707e-07,0.000395388411764707,47076781,505935,93.05,1.39e+12,5,1918,5.97986860268111,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE941","IC_2.1_940","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Austrocylindropuntia","Austrocylindropuntia subulata",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Fuentes de Ayodar","Site","2014","Year",2014,2014,2014,2014,"One-time",512,NA,NA,704.27970684243,800.368371030991,512,704.27970684243,800.368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",704.27970684243,7.0427970684243e-07,0.00070427970684243,47076781,505935,93.05,1.39e+12,5,1918,6.55717558810671,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","SC19_SP104a","IC_4.0_377","TC","SP_104a","Respuesta a la solicitud de datos de costes de las invasiones biologicas dentro del proyecto InvaCost","Marta Olalde Fernández/Joseba Carreras de Bergaretxe/Diputacion Foral de Alava",NA,2020,"Spanish","Unpublished material",NA,"Yes","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","Dreissena","Dreissena polymorpha",NA,"Mejillón cebra","Aquatic","Aquatic",NA,"11","other",NA,"N","Europe","Basque country","Alava Province","Site","2016","Year",2016,2016,2016,2016,"One-time",8598.26,NA,NA,9720.1727167118,13664.5053815187,8598.26,9720.1727167118,13664.5053815187,"EUR",2016,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Monitoring","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","En todo Alava allí donde hay náyades hemos hecho seguimiento de las colonias exitentes pues se ha visto una importante afección sobre las especies de náyades, pues los mejillones cebra pequeños se ""colocan"" encima de sus conchas impidiendo su desplazamiento debido al peso que han de soportar. En DFA se gasta dinero en medidas en Regadios pero no tenemos el dato. Tampoco incluye datos de las empresas hidroeléctricas. Datos económicos mas reales los tiene URA agencia Vasca del agua","Elena Angulo","No",9720.1727167118,9.7201727167118e-06,0.0097201727167118,47076781,505935,93.05,1.39e+12,5,1918,9.18195866650565,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE943","IC_2.1_942","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","Azolla","Azolla filiculoides",NA,"Azolla","Aquatic","Aquatic","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Castellon de la Plana","Site","2014","Year",2014,2014,2014,2014,"One-time",179.2,NA,NA,246.497897394851,280.128929860847,179.2,246.497897394851,280.128929860847,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",246.497897394851,2.46497897394851e-07,0.000246497897394851,47076781,505935,93.05,1.39e+12,5,1918,5.50735346360803,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE944","IC_2.1_943","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","Azolla","Azolla filiculoides",NA,"Azolla","Aquatic","Aquatic","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Nules","Site","2014","Year",2014,2014,2014,2014,"One-time",307.2,NA,NA,422.567824105458,480.221022618595,307.2,422.567824105458,480.221022618595,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",422.567824105458,4.22567824105458e-07,0.000422567824105458,47076781,505935,93.05,1.39e+12,5,1918,6.04634996434072,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE366","IC_2.1_365","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phragmites","Phragmites australis",NA,"Canya","Terrestrial","Semi-aquatic",NA,NA,"other",NA,"N","Europe","Catalonia","Francolí Road to Montblanc/


les Terres del River Gaia Road


to Santa Coloma de Queralt","Site","Jan 01.2017 - Sept 21.2017","Year",2017,2017,2017,2017,"One-time",20000,NA,NA,22593.6235294118,31190.0566099527,20000,22593.6235294118,31190.0566099527,"EUR",2017,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",22593.6235294118,2.25936235294118e-05,0.0225936235294118,47076781,505935,93.05,1.39e+12,5,1918,10.0254230007338,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE367","IC_2.1_366","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phragmites","Phragmites australis",NA,"Canya","Terrestrial","Semi-aquatic",NA,NA,"other",NA,"N","Europe","Catalonia","Tarragona Province","Site","Jan 25.2018 - Jan 21.2019","Period",2018,2019,2018,2019,"One-time",18500,NA,NA,21326.7351605606,28576.7353003049,9250,10663.3675802803,14288.3676501525,"EUR",2018,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",10663.3675802803,1.06633675802803e-05,0.0106633675802803,47076781,505935,93.05,1.39e+12,5,1918,9.27456955592522,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE476","IC_2.1_475","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Segria","Site","2015","Year",2015,2015,2015,2015,"One-time",532,NA,NA,610.439316694486,827.893820018891,532,610.439316694486,827.893820018891,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",610.439316694486,6.10439316694486e-07,0.000610439316694486,47076781,505935,93.05,1.39e+12,5,1918,6.41417888925649,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE477","IC_2.1_476","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Segria","Site","2016","Year",2016,2016,2016,2016,"One-time",532,NA,NA,601.416087125846,828.873200773554,532,601.416087125846,828.873200773554,"EUR",2016,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",601.416087125846,6.01416087125846e-07,0.000601416087125846,47076781,505935,93.05,1.39e+12,5,1918,6.39928701965767,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE949","IC_2.1_948","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana",NA,"Pampa grass","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Sagunto","Site","2014","Year",2014,2014,2014,2014,"One-time",1433.6,NA,NA,1971.9831791588,2241.03143888677,1433.6,1971.9831791588,2241.03143888677,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",1971.9831791588,1.9719831791588e-06,0.0019719831791588,47076781,505935,93.05,1.39e+12,5,1918,7.58679500528786,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE479","IC_2.1_478","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Segria","Site","2018","Year",2018,2018,2018,2018,"One-time",532,NA,NA,613.287735428012,801.593092630534,532,613.287735428012,801.593092630534,"EUR",2018,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",613.287735428012,6.13287735428012e-07,0.000613287735428012,47076781,505935,93.05,1.39e+12,5,1918,6.41883421476039,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE48","IC_2.1_48","TC","SP_18","Respuesta a la solicitud de información de elena angulo sobre costes de las invasiones biológicas en la Comunidad Autónoma de Extremadura","Mª Jesús Palacios González- Consejería para la Transición Ecológica y Sostenibilidad- Dirección General de Sostenibilidad- Junta de Extremadura",NA,2019,"Spanish","Unpublished material",NA,"Yes","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison",NA,"American mink","Aquatic","Semi-aquatic",NA,NA,"other",NA,"N","Europe","Extremadura","Extremadura","Site","2017","Year",2017,2017,2017,2017,"One-time",225197.16,NA,NA,254400.992646636,351195.608440029,225197.16,254400.992646636,351195.608440029,"EUR",2017,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control/Eradication/Research","Management","Mixed","High",NA,NA,NA,NA,"no",NA,"Elena Angulo/Liliana Ballesteros-Mejia","Yes",254400.992646636,0.000254400992646636,0.254400992646636,47076781,505935,93.05,1.39e+12,5,1918,12.4466670123534,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE480","IC_2.1_479","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Barbera del Valles","Site","2018","Year",2018,2018,2018,2018,"One-time",2400,NA,NA,2766.71158839705,3616.2094404385,2400,2766.71158839705,3616.2094404385,"EUR",2018,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",2766.71158839705,2.76671158839705e-06,0.00276671158839705,47076781,505935,93.05,1.39e+12,5,1918,7.92541474175478,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE481","IC_2.1_480","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Barcelona city","Site","Jun 25/2017 - July 25/2017","Year",2017,2017,2017,2017,"One-time",54000,NA,NA,61002.7835294119,84213.1528468724,54000,61002.7835294119,84213.1528468724,"EUR",2017,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",61002.7835294119,6.10027835294119e-05,0.0610027835294119,47076781,505935,93.05,1.39e+12,5,1918,11.0186747737441,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE369","IC_2.1_368","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phragmites","Phragmites australis",NA,"Canya","Terrestrial","Semi-aquatic",NA,NA,"other",NA,"N","Europe","Catalonia","La Selva del Campo","Site","Jan 01 - Oct 21.2017","Year",2017,2017,2017,2017,"One-time",25000,NA,NA,28242.0294117648,38987.5707624409,25000,28242.0294117648,38987.5707624409,"EUR",2017,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",28242.0294117648,2.82420294117648e-05,0.0282420294117648,47076781,505935,93.05,1.39e+12,5,1918,10.248566552048,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE484","IC_2.1_483","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","El Prat de Llobregat","Site","2015","Year",2015,2015,2015,2015,"One-time",3300,NA,NA,3786.5596712252,5135.43159034275,3300,3786.5596712252,5135.43159034275,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",3786.5596712252,3.7865596712252e-06,0.0037865596712252,47076781,505935,93.05,1.39e+12,5,1918,8.23921314736941,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE485","IC_2.1_484","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","El Prat de Llobregat","Site","2016","Year",2016,2016,2016,2016,"One-time",3300,NA,NA,3730.58851036709,5141.50669652768,3300,3730.58851036709,5141.50669652768,"EUR",2016,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",3730.58851036709,3.73058851036709e-06,0.00373058851036709,47076781,505935,93.05,1.39e+12,5,1918,8.2243212777706,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE486","IC_2.1_485","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Barcelona beach","Site","Jun 6/2018 - July 31/2018","Year",2018,2018,2018,2018,"One-time",1325,NA,NA,1527.4553560942,1996.44896190876,1325,1527.4553560942,1996.44896190876,"EUR",2018,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",1527.4553560942,1.5274553560942e-06,0.0015274553560942,47076781,505935,93.05,1.39e+12,5,1918,7.33135846383907,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE487","IC_2.1_486","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Gava","Site","2017","Year",2017,2017,2017,2017,"One-time",900,NA,NA,1016.71305882353,1403.55254744787,900,1016.71305882353,1403.55254744787,"EUR",2017,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",1016.71305882353,1.01671305882353e-06,0.00101671305882353,47076781,505935,93.05,1.39e+12,5,1918,6.92433021152196,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE488","IC_2.1_487","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Gava","Site","2018","Year",2018,2018,2018,2018,"One-time",1100,NA,NA,1268.07614468198,1657.42932686765,1100,1268.07614468198,1657.42932686765,"EUR",2018,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",1268.07614468198,1.26807614468198e-06,0.00126807614468198,47076781,505935,93.05,1.39e+12,5,1918,7.14525618420521,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE489","IC_2.1_488","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Mataro","Site","2015","Year",2015,2015,2015,2015,"One-time",2800,NA,NA,3212.83850891835,4357.33589483627,2800,3212.83850891835,4357.33589483627,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",3212.83850891835,3.21283850891835e-06,0.00321283850891835,47076781,505935,93.05,1.39e+12,5,1918,8.07491009607814,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE49","IC_2.1_49","TC","SP_18","Respuesta a la solicitud de información de elena angulo sobre costes de las invasiones biológicas en la Comunidad Autónoma de Extremadura","Mª Jesús Palacios González- Consejería para la Transición Ecológica y Sostenibilidad- Dirección General de Sostenibilidad- Junta de Extremadura",NA,2019,"Spanish","Unpublished material",NA,"Yes","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison",NA,"American mink","Aquatic","Semi-aquatic",NA,NA,"other",NA,"N","Europe","Extremadura","Extremadura","Site","2018","Year",2018,2018,2018,2018,"One-time",69668,NA,NA,80313.0262251856,104972.533040196,69668,80313.0262251856,104972.533040196,"EUR",2018,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control/Eradication/Research","Management","Mixed","High",NA,NA,NA,NA,"no",NA,"Elena Angulo/Liliana Ballesteros-Mejia","Yes",80313.0262251856,8.03130262251856e-05,0.0803130262251856,47076781,505935,93.05,1.39e+12,5,1918,11.2936871062704,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE490","IC_2.1_489","TC","SP_16","Las especies exóticas invasoras en Cataluña","Sisco Mañas- Servicio de Fauna y Flora- Departament de Territori i Sostenibilitat- Generalitat de Catalunya",NA,2018,"Catalan","Unpublished material","See SP_16a","Yes","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",NA,"Cotorra argentina","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Catalonia","Mataro","Site","2016","Year",2016,2016,2016,2016,"One-time",2500,NA,NA,2826.20341694477,3895.08083070279,2500,2826.20341694477,3895.08083070279,"EUR",2016,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no",NA,"Liliana Ballesteros-Mejia/Virginia G. Duboscq-Carra","Yes",2826.20341694477,2.82620341694477e-06,0.00282620341694477,47076781,505935,93.05,1.39e+12,5,1918,7.94668954117232,2.6,20.1,11,67.9,0,37.2,9.1
